airport_ident,type,description,frequency_mhz
KP04,RDO,PRESCOTT RDO,122.4
KP04,UNIC,CTAF/UNICOM,122.8
KP08,CNTR,ALBUQUERQUE CNTR,125.4
KP08,UNIC,CTAF/UNICOM,123.075
KP10,CTAF,CTAF,122.9
KP13,CNTR,ALBUQUERQUE CNTR,125.4
KP13,RDO,PRESCOTT RDO,122.3
KP13,UNIC,CTAF/UNICOM,122.8
KP14,AWOS,AWOS 3,118.675
KP14,RDO,PRESCOTT RDO,122.6
KP14,UNIC,CTAF/UNICOM,122.8
KP19,A/D,PHOENIX APP/DEP,123.7
KP19,UNIC,CTAF,122.9
KP20,CNTR,LOS ANGELES CNTR,128.15
KP20,UNIC,CTAF/UNICOM,122.725
KP23,CTAF,CTAF,122.9
KP29,CTAF,CTAF,122.9
KP33,CNTR,ALBUQUERQUE CNTR,134.45
KP33,RDO,PRESCOTT RDO,115.8
KP33,UNIC,CTAF/UNICOM,122.8
KP52,RDO,PRESCOTT RDO,122.3
KP52,UNIC,CTAF/UNICOM,122.7
KPAE,GND,GND,121.8
KPAE,TWR,ACFT ARR E OF CNTRLN ORRY 16L/34R,120.2
KPAE,TWR,ACFT ARR W OF CNTRLN ORRY 16R/34L,132.95
KPAE,CTAF,CTAF,132.95
KPAE,ATIS,ATIS,128.65
KPAE,CLD,CLNC DEL,126.75
KPAE,CNTR,SEATTLE CNTR,128.5
KPAE,OPS,AR OPS,34.1
KPAE,RDO,SEATTLE RDO,132.96
KPAE,UNIC,UNICOM,122.95
KPAH,GND,GND,121.7
KPAH,TWR,PADUCAH TWR,119.6
KPAH,CTAF,CTAF,119.6
KPAH,ASOS,ASOS,118.375
KPAH,CNTR,MEMPHIS CNTR,133.65
KPAH,RDO,LOUISVILLE RDO,122.2
KPAH,UNIC,UNICOM,123
KPAM,GND,GND,121.9
KPAM,TWR,TWR,133.95
KPAM,ATIS,ATIS,25.44
KPAM,A/D,APP/DEP,119.1
KPAM,CLD,CLNC DEL,118.05
KPAM,PMSV,PMSV METRO,29.062
KPAM,POST,COMD POST,38.13
KPAM,PTD,PTD,139.9
KPAN,AWOS,AWOS 3,119.325
KPAN,FSS,PRESCOTT RDO,122.3
KPAN,UNIC,CTAF/UNICOM,122.8
KPAO,GND,GND,125
KPAO,TWR,TWR,118.6
KPAO,CTAF,CTAF,118.6
KPAO,APP,NORCAL APP,121.3
KPAO,APP,NORCAL APP,33.82
KPAO,DEP,NORCAL DEP,121.3
KPAO,ATIS,ATIS,135.275
KPAO,UNIC,UNICOM,122.95
KPBF,ASOS,ASOS,120.775
KPBF,A/D,LITTLE ROCK APP/DEP,119.85
KPBF,CLD,LITTLE ROCK CLNC DEL,119.85
KPBF,RDO,JONESBORO RDO,122.6
KPBF,UNIC,CTAF/UNICOM,123
KPBG,A/D,BURLINGTON APP/DEP,121.1
KPBG,UNIC,CTAF/UNICOM,122.7
KPBH,AWOS,AWOS 3,125.875
KPBH,A/D,MINNEAPOLIS APP/DEP,133.65
KPBH,RDO,GREEN BAY RDO,122.05
KPBH,UNIC,CTAF/UNICOM,122.8
KPBI,GND,GND,121.9
KPBI,TWR,TWR,119.1
KPBI,APP,APP,124.6
KPBI,DEP,DEP,127.35
KPBI,ASOS,ASOS,119.975
KPBI,ATIS,ATIS,123.75
KPBI,CLD,CLNC DEL,121.6
KPBI,RDO,MIAMI RDO,122.4
KPBI,UNIC,UNICOM,122.95
KPBX,CNTR,INDIANAPOLIS CNTR,126.575
KPBX,UNIC,CTAF/UNICOM,122.8
KPCM,AWOS,AWOS 3,120.025
KPCM,A/D,TAMPA APP/DEP,120.65
KPCM,UNIC,CTAF/UNICOM,123
KPCW,AWOS,AWOS 3,118.775
KPCW,A/D,CLEVELAND APP/DEP,126.35
KPCW,RDO,CLEVELAND RDO,109.2
KPCW,UNIC,CTAF/UNICOM,122.8
KPCZ,AWOS,AWOS 3,118.625
KPCZ,A/D,MINNEAPOLIS CNTR,124.4
KPCZ,UNIC,CTAF/UNICOM,122.8
KPDC,AWOS,AWOS 3,119.925
KPDC,A/D,CHICAGO APP/DEP,133.95
KPDC,RDO,GREEN BAY RDO,122.25
KPDC,UNIC,CTAF/UNICOM,122.8
KPDK,GND,GND,121.6
KPDK,TWR,PEACHTREE TWR,120.9
KPDK,CTAF,CTAF,120.9
KPDK,ATIS,ATIS,128.4
KPDK,A/D,ATLANTA  APP/DEP,126.975
KPDK,CLD,CLNC DEL,120.9
KPDK,RDO,MACON RDO,116.6
KPDK,UNIC,UNICOM,122.95
KPDT,GND,GND,121.9
KPDT,TWR,PENDLETON TWR,119.7
KPDT,CTAF,CTAF,119.7
KPDT,ASOS,ASOS,118.325
KPDT,A/D,CHINOOK APP/DEP,133.15
KPDT,OPS,ARNG OPS,40.9
KPDT,RDO,MC MINNVILLE RDO,122.2
KPDT,UNIC,UNICOM,122.95
KPDX,GND,GND,121.9
KPDX,TWR,TWR,118.7
KPDX,APP,APP,118.1
KPDX,APP,APP,129.92
KPDX,DEP,DEP,118.1
KPDX,ATIS,ATIS,120.625
KPDX,ACP,939 ARW COMD POST,124.35
KPDX,CLD,CLNC DEL,120.125
KPDX,OPS,ANG BASE OPS,128.05
KPDX,UNIC,UNICOM,122.95
KPEA,AWOS,AWOS 3,118.875
KPEA,A/D,DES MOINES APP/DEP,123.9
KPEA,UNIC,CTAF/UNICOM,122.8
KPEO,ASOS,ASOS,121.175
KPEO,A/D,ELIMIRA APP/DEP,124.3
KPEO,UNIC,CTAF/UNICOM,123
KPEQ,AWOS,AWOS 3,118.175
KPEQ,CNTR,ALBUQUERQUE CNTR,135.875
KPEQ,RDO,SAN ANGELO RDO,111.8
KPEQ,UNIC,CTAF/UNICOM,122.8
KPEX,CTAF,CTAF,122.9
KPEX,AWOS,AWOS 3,120.35
KPEZ,APP,SAN ANTONIO APP,118.05
KPEZ,DEP,SAN ANTONIO DEP,125.7
KPEZ,CLD,CLNC DEL,126.55
KPEZ,UNIC,CTAF/UNICOM,122.7
KPGA,ASOS,ASOS,120.625
KPGA,CNTR,DENVER CNTR,127.55
KPGA,RDO,PRESCOTT RDO,122.45
KPGA,UNIC,CTAF/UNICOM,122.8
KPGD,ASOS,ASOS,135.675
KPGD,A/D,FORT MYERS APP/DEP,126.8
KPGD,CLD,CLNC DEL,127.05
KPGD,RDO,ST PETERSBURG RDO,122.025
KPGD,UNIC,CTAF/UNICOM,122.975
KPGR,CNTR,MEMPHIS CNTR,120.075
KPGR,UNIC,CTAF/UNICOM,122.8
KPGV,AWOS,AWOS 3,128.425
KPGV,CLD,CLNC DEL,122.35
KPGV,CNTR,WASHINGTON CNTR,135.5
KPGV,UNIC,CTAF/UNICOM,122.8
KPHD,ASOS,ASOS,121.425
KPHD,A/D,AKRON CANTON APP/DEP,125.5
KPHD,RDO,CLEVELAND RDO,112.4
KPHD,UNIC,CTAF/UNICOM,122.8
KPHF,GND,GND,121.9
KPHF,TWR,TWR,124.9
KPHF,CTAF,CTAF,118.7
KPHF,APP,NORFOLK APP,125.7
KPHF,DEP,NORFOLK DEP,124.9
KPHF,ATIS,ATIS,128.65
KPHF,CLD,CLNC DEL,121.65
KPHF,RDO,LEESBURG RDO,122.65
KPHF,UNIC,UNICOM,122.95
KPHG,AWOS,AWOS 3,119.125
KPHG,CNTR,DENVER CNTR,132.5
KPHG,UNIC,CTAF/UNICOM,122.8
KPHH,CTAF,CTAF,122.9
KPHH,A/D,MYRTLE BEACH APP/DEP,127.4
KPHK,A/D,APP/DEP,124.6
KPHK,RDO,MIAMI RDO,122.35
KPHK,UNIC,CTAF/UNICOM,122.8
KPHL,GND,GND,121.9
KPHL,TWR,TWR,118.5
KPHL,APP,APP,123.8
KPHL,DEP,DEP,119.75
KPHL,ATIS,ATIS,133.4
KPHL,ARR,PRM,120.425
KPHL,CLD,CLNC DEL,118.85
KPHL,UNIC,UNICOM,122.95
KPHN,AWOS,AWOS 3,118.375
KPHN,A/D,SELFRIDGE APP/DEP,119.6
KPHN,UNIC,CTAF/UNICOM,123.05
KPHP,ASOS,ASOS,118.375
KPHP,CNTR,DENVER CNTR,127.95
KPHP,RDO,HURON RDO,122.4
KPHP,UNIC,CTAF/UNICOM,122.8
KPHT,AWOS,AWOS 3,118.825
KPHT,CNTR,MEMPHIS CNTR,134.65
KPHT,UNIC,CTAF/UNICOM,123
KPHX,GND,NORTH,119.75
KPHX,GND,SOUTH,132.55
KPHX,TWR,RWAY 08-26,118.7
KPHX,TWR,RWAY 07-25,120.9
KPHX,ATIS,ATIS,127.575
KPHX,A/D,319-057° 7500' AND ABOVE,119.2
KPHX,A/D,319-057° BELOW 7500',120.7
KPHX,A/D,139-191° BELOW 8500',123.7
KPHX,A/D,192-263° 7500-12500',124.1
KPHX,A/D,"058-118° BELOW 10,500'",124.9
KPHX,A/D,"119-138° ABOVE 14,500'",126.8
KPHX,A/D,340-079° ABOVE 5500' INITIAL CONTACT,128.65
KPHX,CLD,CLNC DEL,118.1
KPHX,POST,ANG COMD POST,140
KPHX,RDO,PRESCOTT RDO,122.2
KPHX,UNIC,UNICOM,122.95
KPIA,GND,GND,121.85
KPIA,TWR,PEORIA TWR,119.1
KPIA,ASOS,ASOS,126.1
KPIA,ATIS,ATIS,126.1
KPIA,A/D,PEORIA APP/DEP,124.675
KPIA,OPS,ARNG OPS,32.3
KPIA,POST,ANG OPS,141.55
KPIA,RDO,KANKAKEE RDO,122.35
KPIA,UNIC,UNICOM,122.95
KPIB,AWOS,AWOS 3,128.325
KPIB,CNTR,HOUSTON CNTR,126.8
KPIB,UNIC,CTAF/UNICOM,123
KPIE,GND,GND,121.9
KPIE,TWR,TWR,118.3
KPIE,CTAF,CTAF,118.3
KPIE,ATIS,ATIS,134.5
KPIE,A/D,TAMPA APP/DEP,125.3
KPIE,CLD,CLNC DEL,120.6
KPIE,MISC,AIR CG,38.18
KPIE,RDO,RDO,122.1
KPIE,RDO,RDO,122.2
KPIE,UNIC,UNICOM,122.95
KPIH,GND,GND,121.9
KPIH,TWR,TWR,119.1
KPIH,CTAF,CTAF,119.1
KPIH,ASOS,ASOS,135.625
KPIH,CLD,CLNC DEL,126.55
KPIH,CNTR,SALT LAKE CITY CNTR,128.35
KPIH,FSS,BOISE RDO,122.35
KPIH,RCO,BOISE RDO,122.35
KPIH,UNIC,UNICOM,122.95
KPIL,ASOS,ASOS,118.525
KPIL,A/D,VALLEY APP/DEP,119.5
KPIL,CLD,CLNC DEL,119.2
KPIL,UNIC,CTAF/UNICOM,122.8
KPIM,A/D,ATLANTA APP/DEP,125.5
KPIM,CLD,CLNC DEL,120.45
KPIM,UNIC,CTAF/UNICOM,122.8
KPIR,CTAF,CTAF,122.7
KPIR,ASOS,ASOS,119.025
KPIR,CNTR,MINNEAPOLIS CNTR,125.1
KPIR,RDO,HURON RDO,122.2
KPIR,UNIC,UNICOM,122.95
KPIT,GND,GND,121.9
KPIT,TWR,TWR,119.1
KPIT,APP,APP,120.875
KPIT,APP,APP,36.08
KPIT,DEP,DEP,118.65
KPIT,ATIS,ATIS,127.25
KPIT,CLD,CLNC DEL,126.75
KPIT,OPS,ANG OPS,31.1
KPIT,POST,PITT COMD POST,25.21
KPIT,RDO,ALTOONA RDO,112
KPIT,RMP,RAMP CON,131.375
KPIT,UNIC,UNICOM,122.95
KPJC,CTAF,CTAF,122.9
KPJC,A/D,PITTSBURGH APP/DEP,124.75
KPJY,CNTR,KANSAS CITY CNTR,125.3
KPJY,UNIC,CTAF/UNICOM,122.8
KPKB,GND,GND,121.7
KPKB,TWR,PARKERSBURG TWR,123.7
KPKB,CTAF,CTAF,123.7
KPKB,ATIS,ATIS,124.35
KPKB,CNTR,INDIANAPOLIS CNTR,125.55
KPKB,UNIC,UNICOM,122.95
KPKD,ASOS,ASOS,110.6
KPKD,RDO,PRINCETON RDO,110.6
KPKD,UNIC,CTAF/UNICOM,123
KPKF,A/D,MINNEAPOLIS APP/DEP,133.65
KPKF,UNIC,CTAF/UNICOM,122.9
KPKV,AWOS,AWOS 3,118.275
KPKV,CNTR,HOUSTON CNTR,128.15
KPKV,UNIC,CTAF/UNICOM,122.8
KPLD,AWOS,AWOS 3,126.675
KPLD,A/D,FORT WAYNE APP/DEP,127.2
KPLD,UNIC,CTAF/UNICOM,122.8
KPLK,A/D,SPRINGFIELD APP/DEP,126.35
KPLK,RDO,COLUMBIA RDO,122.65
KPLK,UNIC,CTAF/UNICOM,122.7
KPLN,ASOS,ASOS,119.025
KPLN,CNTR,MINNEAPOLIS CNTR,134.6
KPLN,RDO,LANSING RDO,122.2
KPLN,UNIC,CTAF/UNICOM,123
KPLR,A/D,BIRMINGHAM APP/DEP,123.8
KPLR,UNIC,CTAF/UNICOM,123.05
KPMB,CNTR,MINNEAPOLIS CNTR,132.15
KPMB,UNIC,CTAF/UNICOM,122.8
KPMD,GND,GND,121.9
KPMD,TWR,TWR,123.7
KPMD,CTAF,CTAF,123.7
KPMD,ASOS,ASOS,118.275
KPMD,A/D,JOSHUA APP/DEP,124.55
KPMH,AWOS,AWOS 3,125.175
KPMH,A/D,HUNTINGTON APP/DEP,128.4
KPMH,UNIC,CTAF/UNICOM,122.8
KPMP,GND,GND,121.9
KPMP,TWR,TWR,125.4
KPMP,CTAF,CTAF,125.4
KPMP,ATIS,ATIS,120.55
KPMP,A/D,MIAMI APP/DEP,119.7
KPMP,UNIC,UNICOM,122.95
KPMU,CNTR,MEMPHIS CNTR,128.5
KPMU,UNIC,CTAF/UNICOM,122.8
KPMV,A/D,OMAHA APP/DEP,120.1
KPMV,UNIC,CTAF/UNICOM,122.7
KPMZ,A/D,WASHINGTON APP/DEP,135.5
KPMZ,UNIC,CTAF/UNICOM,122.8
KPNA,AWOS,AWOS 3,118.325
KPNA,CNTR,SALT LAKE CITY CNTR,128.35
KPNA,UNIC,CTAF/UNICOM,122.8
KPNC,ASOS,ASOS,134.075
KPNC,CNTR,KANSAS CITY CNTR,127.8
KPNC,RDO,MC ALESTER RDO,122.25
KPNC,UNIC,CTAF/UNICOM,123
KPNE,GND,GND,121.7
KPNE,TWR,TWR,126.9
KPNE,CTAF,CTAF,126.9
KPNE,ATIS,ATIS,121.15
KPNE,A/D,PHILADELPHIA APP/DEP,123.8
KPNE,CLD,CLNC DEL,127.25
KPNE,RDO,WILLIAMSPORT RDO,122.2
KPNE,UNIC,UNICOM,122.95
KPNM,AWOS,AWOS 3,119.025
KPNM,CNTR,MINNEAPOLIS CNTR,121.05
KPNM,RDO,RDO,122.2
KPNM,UNIC,CTAF/UNICOM,123
KPNN,CNTR,BOSTON CNTR,124.25
KPNN,RDO,BANGOR RDO,114.3
KPNN,UNIC,CTAF/UNICOM,122.8
KPNS,GND,GND,121.9
KPNS,TWR,TWR,119.9
KPNS,CTAF,CTAF,119.9
KPNS,ATIS,ATIS,121.25
KPNS,A/D,APP/DEP,118.6
KPNS,CLD,CLNC DEL,123.725
KPNS,RDO,GAINESVILLE RDO,122.2
KPNS,UNIC,UNICOM,122.95
KPNT,AWOS,AWOS 3,119.675
KPNT,CNTR,CHICAGO CNTR,124.55
KPNT,UNIC,CTAF/UNICOM,122.8
KPOB,GND,GND,124.55
KPOB,TWR,TWR,135.025
KPOB,ATIS,ATIS,132.3
KPOB,A/D,FAYETTEVILLE APP/DEP,125.175
KPOB,ACP,COMD POST,134.1
KPOB,CLD,CLNC DEL,27.58
KPOB,PMSV,PMSV METRO,34.46
KPOB,PTD,PTD,37.22
KPOC,GND,GND,125
KPOC,TWR,TWR,118.2
KPOC,CTAF,CTAF,118.2
KPOC,ATIS,ATIS,124.4
KPOC,A/D,SOCAL APP/DEP,125.5
KPOC,UNIC,UNICOM,122.95
KPOE,GND,GND,121.8
KPOE,TWR,TWR,41.5
KPOE,ATIS,ATIS,134.85
KPOE,A/D,APP/DEP,123.7
KPOE,FCC,FLT FOLLOWING,123.7
KPOE,INFO,RANGE CON,40.95
KPOE,MISC,MEDEVAC OPS,42.5
KPOE,OPS,POE OPS,36.05
KPOE,PMSV,PMSV METRO,135
KPOF,ASOS,ASOS,124.225
KPOF,CNTR,MEMPHIS CNTR,120.075
KPOF,UNIC,CTAF/UNICOM,123
KPOH,CNTR,MINNEAPOLIS CNTR,134
KPOH,UNIC,CTAF/UNICOM,122.8
KPOU,GND,GND,121.8
KPOU,TWR,TWR,124
KPOU,CTAF,CTAF,124
KPOU,ASOS,ASOS,126.75
KPOU,ATIS,ATIS,126.75
KPOU,CLD,CLNC DEL,121.8
KPOU,CNTR,NEW YORK CNTR,132.75
KPOU,RDO,NEW YORK RDO,122.2
KPOU,UNIC,UNICOM,122.95
KPOV,A/D,AKRON CANTON APP/DEP,118.6
KPOV,CLD,CLNC DEL,125.65
KPOV,UNIC,CTAF/UNICOM,123.05
KPOY,AWOS,AWOS 3,119.275
KPOY,RDO,CASPER RDO,122.3
KPOY,UNIC,CTAF/UNICOM,122.7
KPPA,AWOS,AWOS 3,118.725
KPPA,CNTR,ALBUQUERQUE CNTR,127.85
KPPA,UNIC,CTAF/UNICOM,122.7
KPPF,ASOS,ASOS,118.175
KPPF,CNTR,KANSAS CITY CNTR,132.9
KPPF,RDO,WICHITA RDO,122.35
KPPF,UNIC,CTAF/UNICOM,123
KPPO,AWOS,AWOS 3,119.825
KPPO,A/D,SOUTH BEND APP/DEP,132.05
KPPO,CTR,CHICAGO CTR,135.9
KPPO,RDO,TERRE HAUTE RDO,115.6
KPPO,UNIC,CTAF/UNICOM,123
KPPQ,CNTR,KANSAS CITY CNTR,135.525
KPPQ,UNIC,CTAF/UNICOM,122.8
KPQI,AWOS,AWOS 3,118.025
KPQI,CLD,BOSTON CLNC DEL,121.6
KPQI,CNTR,BOSTON CNTR,124.75
KPQI,UNIC,CTAF/UNICOM,122.8
KPQL,GND,GND,121.725
KPQL,TWR,TWR,118.575
KPQL,CTAF,CTAF,118.575
KPQL,ATIS,ATIS,135.175
KPQL,A/D,MOBILE APP/DEP,121
KPQL,CLD,CLD,121.725
KPQL,UNIC,UNICOM,122.8
KPQN,APP,MINNEAPOLIS CNTR,132.05
KPQN,AWOS,AWOS 3,118.375
KPQN,UNIC,CTAF/UNICOM,122.8
KPRB,ASOS,ASOS,132.175
KPRB,CNTR,OAKLAND CNTR,128.7
KPRB,RDO,HAWTHORNE RDO,122.4
KPRB,UNIC,CTAF/UNICOM,123
KPRC,GND,GND,121.7
KPRC,TWR,PRESCOTT TWR,125.3
KPRC,CTAF,CTAF,125.3
KPRC,ATIS,ATIS,127.2
KPRC,CNTR,ALBUQUERQUE CNTR,128.45
KPRC,RDO,PRESCOTT RDO,122.2
KPRC,UNIC,UNICOM,122.95
KPRG,AWOS,AWOS 3,124.175
KPRG,A/D,HULMAN APP/DEP,125.45
KPRG,UNIC,CTAF/UNICOM,123
KPRN,ASOS,ASOS,120
KPRN,CNTR,ATLANTA CNTR,120.55
KPRN,UNIC,CTAF/UNICOM,122.8
KPRO,A/D,DES MOINES APP/DEP,135.2
KPRO,UNIC,CTAF/UNICOM,122.8
KPRS,CTAF,CTAF,122.9
KPRX,AWOS,AWOS 3,119.675
KPRX,CNTR,FORT WORTH CNTR,123.925
KPRX,RDO,FORT WORTH RDO,122.25
KPRX,UNIC,CTAF/UNICOM,122.975
KPRZ,APP,CANNON APP,125.5
KPRZ,DEP,CANNON DEP,125.5
KPRZ,AWOS,AWOS 3,118.175
KPRZ,CLD,CANNON CLNC DEL,119
KPRZ,UNIC,CTAF/UNICOM,122.8
KPSB,CTAF,CTAF,122.9
KPSB,AWOS,AWOS 3,127.525
KPSB,CNTR,NEW YORK CNTR,134.8
KPSB,RDO,ALTOONA RDO,122.5
KPSC,GND,GND,121.8
KPSC,TWR,TWR,135.3
KPSC,CTAF,CTAF,135.3
KPSC,ATIS,ATIS,125.65
KPSC,A/D,CHINOOK APP/DEP,128.75
KPSC,CLD,CLNC DEL,120
KPSC,RDO,SEATTLE RDO,122.4
KPSC,UNIC,UNICOM,122.95
KPSF,ASOS,ASOS,135.375
KPSF,A/D,ALBANY APP/DEP,125
KPSF,CLD,ALBANY CLNC DEL,128.6
KPSF,RDO,BURLINGTON RDO,122.05
KPSF,UNIC,CTAF/UNICOM,122.7
KPSK,AWOS,AWOS 3,127.375
KPSK,A/D,ROANOKE APP/DEP,126
KPSK,CLD,CLNC DEL,121.7
KPSK,RDO,LEESBURG RDO,122.3
KPSK,UNIC,CTAF/UNICOM,122.7
KPSM,GND,GND,120.95
KPSM,TWR,TWR,128.4
KPSM,APP,BOSTON APP,125.05
KPSM,DEP,DEP,125.05
KPSM,ATIS,ATIS,132.05
KPSM,CLD,CLNC DEL,33.58
KPSM,GCA,GCA,127.05
KPSM,MISC,ARW ANG OPS,134.1
KPSM,UNIC,UNICOM,122.95
KPSN,AWOS,AWOS 3,118.025
KPSN,A/D,FORT WORTH CNTR,135.25
KPSN,UNIC,CTAF/UNICOM,122.7
KPSO,UNIC,CTAF/UNICOM,122.7
KPSP,GND,GND,121.9
KPSP,TWR,TWR,119.7
KPSP,CTAF,CTAF,119.7
KPSP,ATIS,ATIS,118.25
KPSP,A/D,APP/DEP,126.7
KPSP,CLD,CLNC DEL,128.35
KPSP,RDO,RIVERSIDE RDO,115.5
KPSP,UNIC,UNICOM,122.95
KPSX,ASOS,ASOS,118.025
KPSX,CNTR,HOUSTON CNTR,128.6
KPSX,RDO,MONTGOMERY CO RDO,122.25
KPSX,UNIC,CTAF/UNICOM,122.8
KPTB,APP,POTOMAC APP,134.7
KPTB,DEP,POTOMAC DEP,134.7
KPTB,AWOS,AWOS 3,133.325
KPTB,UNIC,CTAF/UNICOM,122.7
KPTD,CNTR,BOSTON CNTR,135.25
KPTD,UNIC,UNICOM,122.8
KPTK,GND,GND,121.9
KPTK,TWR,PONTIAC TWR,120.5
KPTK,CTAF,CTAF,120.5
KPTK,ATIS,ATIS,125.45
KPTK,A/D,DETROIT APP/DEP,127.5
KPTK,CLD,CLNC DEL,118.25
KPTK,RDO,LANSING RDO,111
KPTK,UNIC,UNICOM,122.95
KPTN,AWOS,AWOS 3,134.575
KPTN,A/D,NEW ORLEANS APP/DEP,124.3
KPTN,RDO,DE RIDDER RDO,122.5
KPTN,UNIC,CTAF/UNICOM,122.8
KPTS,AWOS,AWOS 3,118.775
KPTS,CNTR,KANSAS CITY CNTR,128.6
KPTS,RDO,WICHITA RDO,122.15
KPTS,UNIC,CTAF/UNICOM,123
KPTT,AWOS,AWOS 3,118.725
KPTT,UNIC,CTAF/UNICOM,122.8
KPTV,AWOS,AWOS 3,134.625
KPTV,A/D,BAKERSFIELD APP/DEP,120.5
KPTV,RDO,RANCHO RDO,109.2
KPTV,UNIC,CTAF/UNICOM,122.8
KPTW,ASOS,ASOS,119.425
KPTW,A/D,PHILADELPHIA APP/DEP,126.85
KPTW,CLD,CLNC DEL,118.55
KPTW,UNIC,CTAF/UNICOM,122.7
KPUB,GND,GND,121.9
KPUB,TWR,TWR,119.1
KPUB,CTAF,CTAF,119.1
KPUB,ATIS,ATIS,125.25
KPUB,A/D,APP/DEP,120.1
KPUB,RDO,DENVER RDO,122.2
KPUB,UNIC,UNICOM,122.95
KPUC,ASOS,ASOS,135.425
KPUC,CNTR,SALT LAKE CITY CNTR,133.9
KPUC,RDO,CEDAR CITY RDO,122.2
KPUC,UNIC,CTAF/UNICOM,122.8
KPUW,ASOS,ASOS,135.675
KPUW,CNTR,SEATTLE CNTR,123.95
KPUW,RDO,SEATTLE RDO,122.6
KPUW,UNIC,CTAF/UNICOM,122.8
KPVB,CNTR,CHICAGO CNTR,133.95
KPVB,RDO,GREEN BAY RDO,122.5
KPVB,UNIC,CTAF/UNICOM,122.7
KPVC,AWOS,AWOS 3,119.025
KPVC,A/D,CAPE APP/DEP,118.2
KPVC,CLD,OTIS CLNC DEL,120.65
KPVC,UNIC,CTAF/UNICOM,122.8
KPVD,GND,PROVIDENCE GND,121.9
KPVD,TWR,PROVIDENCE TWR,120.7
KPVD,CTAF,CTAF,120.7
KPVD,ATIS,ATIS,124.2
KPVD,A/D,PROVIDENCE APP/DEP,135.4
KPVD,CLD,CLNC DEL,126.65
KPVD,RDO,BRIDGEPORT RDO,122.6
KPVE,CTAF,CTAF,123
KPVE,AWOS,AWOS 3,118.125
KPVE,A/D,APP/DEP,125.85
KPVE,UNIC,UNICOM,123
KPVF,A/D,NORCAL APP/DEP,127.4
KPVF,RDO,RANCHO RDO,115.5
KPVF,UNIC,CTAF/UNICOM,122.8
KPVG,AWOS,AWOS 3PT,118.375
KPVG,A/D,NORFOLK APP/DEP,118.9
KPVG,CTAF/UNICOM,Hampton Roads Traffic/UNICOM,122.72
KPVJ,AWOS,AWOS 3,118.675
KPVJ,CNTR,FORT WORTH CNTR,128.1
KPVJ,UNIC,CTAF/UNICOM,122.8
KPVU,GND,GND,119.4
KPVU,TWR,TWR,125.3
KPVU,APP,SALT LAKE CITY APP,124.3
KPVU,DEP,SALT LAKE CITY DEP,118.85
KPVU,AWOS,AWOS 3,135.175
KPVU,ATIS,ATIS,135.175
KPVU,UNIC,CTAF/UNICOM,125.3
KPVW,AWOS,AWOS 3,119.675
KPVW,A/D,LUBBOCK APP/DEP,119.2
KPVW,CLD,LUBBOCK CLNC DEL,121.7
KPVW,RDO,FORT WORTH RDO,122.55
KPVW,UNIC,CTAF/UNICOM,123
KPWA,GND,GND,121.7
KPWA,TWR,TWR,126.9
KPWA,CTAF,CTAF,126.9
KPWA,ATIS,ATIS,128.725
KPWA,A/D,OKE CITY APP/DEP,120.45
KPWA,RDO,MC ALESTER RDO,122.4
KPWA,UNIC,UNICOM,122.95
KPWC,CTAF,CTAF,122.9
KPWC,AWOS,AWOS 3,118.525
KPWC,CNTR,MINNEAPOLIS  CNTR,118.05
KPWD,UNIC,CTAF/UNICOM,122.8
KPWG,APP,WACO APP,135.2
KPWG,DEP,WACO DEP,126.125
KPWG,AWOS,AWOS 3,135.525
KPWG,UNIC,CTAF/UNICOM,122.8
KPWK,GND,GND,121.7
KPWK,TWR,TWR,119.9
KPWK,CTAF,CTAF,119.9
KPWK,ATIS,ATIS,124.2
KPWK,A/D,CHICAGO APP/DEP,120.55
KPWK,CLD,CLNC DEL,124.7
KPWK,UNIC,UNICOM,122.95
KPWM,GND,GND,121.9
KPWM,TWR,TWR,120.9
KPWM,CTAF,CTAF,120.9
KPWM,ATIS,ATIS,119.05
KPWM,A/D,APP/DEP,119.75
KPWM,CLD,CLNC DEL,121.9
KPWM,UNIC,UNICOM,122.95
KPWT,AWOS,AWOS 3,121.2
KPWT,A/D,SEATTLE APP/DEP,127.1
KPWT,UNIC,CTAF/UNICOM,123.05
KPXE,AWOS,AWOS 3,123.825
KPXE,A/D,ATLANTA APP/DEP,119.6
KPXE,UNIC,CTAF/UNICOM,122.7
KPYG,CTAF,CTAF,122.9
KPYG,A/D,CHARLOTTE APP/DEP,120.05
KPYM,ASOS,ASOS,135.625
KPYM,A/D,CAPE APP/DEP,118.2
KPYM,CLD,CLNC DEL,127.75
KPYM,UNIC,CTAF/UNICOM,123
KPYN,AWOS,AWOS 3,118.475
KPYN,UNIC,CTAF/UNICOM,122.8
KPYX,AWOS,AWOS 3,118.175
KPYX,CNTR,KANSAS CITY CNTR,126.95
KPYX,UNIC,CTAF/UNICOM,122.8
KPZQ,CTAF,CTAF,122.9
KPZQ,A/D,ALPENA APP/DEP,128.425
KPZQ,RDO,LANSING RDO,108.8
KR-1080,TWR,TWR,32.3
KR-1080,APP,GANGNEUNG APP,124.6
KR-1080,ACP,BRICKWALL,120
KR-1088,FCC,FCC EVENREACH,36.9
KR-1089,FCC,FCC EVENREACH,36.9
KR-1090,FCC,FCC GO NEE,38.25
KR-1092,RDO,CHANG WON RDO,38
KR47,UNIC,CTAF/UNICOM,123
